frame,left_elbow,right_elbow,left_knee,right_knee,bar_x,bar_y,time_sec,bar_velocity
0,158.06659,161.9725,163.18655,169.63744,984,912,0.0,-0.0
1,159.9623,163.67387,165.05226,169.28094,986,910,0.0404308176100629,2.0
2,160.05952,163.45206,165.09183,169.13368,987,911,0.0808616352201258,-1.0
3,163.61374,164.79654,167.18686,170.09772,991,906,0.12129245283018869,5.0
4,163.765,164.86995,167.1974,170.24992,991,905,0.1617232704402516,1.0
5,165.92299,165.75789,160.20695,171.66754,988,905,0.20215408805031448,-0.0
6,163.13705,164.66089,166.3978,172.74559,988,905,0.24258490566037738,-0.0
7,163.17334,164.59247,166.64969,172.60335,989,905,0.2830157232704403,-0.0
8,162.87657,163.80634,159.73805,176.81972,985,906,0.3234465408805032,-1.0
9,158.982,162.21826,156.84381,176.07777,982,914,0.36387735849056607,-8.0
10,161.10551,162.2186,155.65793,176.78464,985,911,0.40430817610062897,3.0
11,160.3506,161.351,157.34338,176.63297,985,910,0.44473899371069187,1.0
12,161.03104,162.84329,155.0159,174.50769,985,911,0.48516981132075476,-1.0
13,161.37494,161.20921,156.89502,175.83397,987,908,0.5256006289308176,3.0
14,160.15265,163.40672,153.64742,174.04768,985,912,0.5660314465408806,-4.0
15,158.41801,160.80453,156.23232,176.47263,985,911,0.6064622641509434,1.0
16,158.39713,161.54474,155.01479,174.45966,984,912,0.6468930817610063,-1.0
17,158.65263,161.2178,153.56412,175.46982,984,912,0.6873238993710692,-0.0
18,158.51942,160.28722,153.79095,175.33313,984,911,0.7277547169811321,1.0
19,158.60014,160.43889,153.94029,175.15292,984,911,0.768185534591195,-0.0
20,158.6771,160.67569,152.94792,175.63026,983,912,0.8086163522012579,-1.0
21,159.02637,160.95146,152.7309,175.40205,984,911,0.8490471698113208,1.0
22,159.7445,160.5921,152.77046,175.80482,985,911,0.8894779874213837,-0.0
23,159.4524,160.9887,152.0392,177.09586,985,912,0.9299088050314466,-1.0
24,160.46118,161.28,152.19125,176.54446,985,910,0.9703396226415095,2.0
25,160.40013,160.80669,154.52202,177.71158,986,911,1.0107704402515725,-1.0
26,160.28065,161.5068,152.42047,176.12817,985,912,1.0512012578616352,-1.0
27,158.84575,161.0626,158.02304,175.66351,986,915,1.0916320754716982,-3.0
28,159.37312,161.01537,158.15141,175.22253,987,914,1.1320628930817611,1.0
29,161.71556,168.91101,150.61151,175.57428,985,913,1.1724937106918238,1.0
30,162.57698,169.34021,149.32681,175.64597,987,911,1.2129245283018868,2.0
31,162.38556,169.24144,149.64005,175.49002,987,912,1.2533553459119497,-1.0
32,161.20866,161.93762,155.84563,177.72487,986,910,1.2937861635220127,2.0
33,156.75546,161.61383,158.46335,174.49103,981,915,1.3342169811320754,-5.0
34,155.40027,161.47673,159.18777,174.20761,980,918,1.3746477987421384,-3.0
35,155.6129,161.33058,159.13713,173.5493,981,918,1.4150786163522013,-0.0
36,155.39378,161.09076,158.76625,173.8348,981,918,1.4555094339622643,-0.0
37,157.66386,161.97026,153.61934,173.88678,983,915,1.495940251572327,3.0
38,157.35147,162.20003,153.67169,173.26134,982,916,1.53637106918239,-1.0
39,157.16809,161.91554,152.97168,173.74069,982,916,1.576801886792453,-0.0
40,157.29294,161.64696,153.22612,173.89455,981,915,1.6172327044025159,1.0
41,156.48816,161.52068,153.11928,174.56497,980,916,1.6576635220125786,-1.0
42,156.92624,161.414,153.1047,175.09291,981,916,1.6980943396226416,-0.0
43,156.69452,161.50667,152.86903,174.64441,980,916,1.7385251572327045,-0.0
44,156.97676,161.3713,153.26411,174.84375,981,916,1.7789559748427675,-0.0
45,157.13718,161.33292,153.01222,175.53217,981,916,1.8193867924528302,-0.0
46,157.42287,161.35329,152.8916,175.28223,981,915,1.8598176100628931,1.0
47,157.50615,161.69336,153.23766,174.96623,981,915,1.900248427672956,-0.0
48,158.12234,162.22968,153.99403,174.79936,982,914,1.940679245283019,1.0
49,158.55551,162.37292,154.00722,174.78442,982,914,1.9811100628930818,-0.0
50,158.73128,162.31009,153.8526,174.97748,983,914,2.021540880503145,-0.0
51,158.842,162.19803,153.62047,175.0852,983,914,2.0619716981132075,-0.0
52,159.15329,162.15001,153.49466,175.12631,984,913,2.1024025157232704,1.0
53,159.14162,162.13568,153.65317,174.73973,983,914,2.1428333333333334,-1.0
54,159.04848,162.41975,153.71924,174.35464,983,913,2.1832641509433963,1.0
55,159.2123,162.37006,153.2686,174.25412,983,913,2.2236949685534593,-0.0
56,159.23393,162.52065,153.20091,174.0286,983,913,2.2641257861635222,-0.0
57,159.13597,162.23901,153.66461,174.01625,984,914,2.304556603773585,-1.0
58,159.12622,162.53877,152.97963,173.5267,984,914,2.3449874213836477,-0.0
59,158.88266,162.6488,152.26149,173.65599,983,914,2.3854182389937106,-0.0
60,158.9141,161.6889,152.07092,173.41121,984,912,2.4258490566037736,2.0
61,158.10963,161.4709,151.99301,173.21255,983,913,2.4662798742138365,-1.0
62,158.50977,161.66035,151.82259,172.71768,985,913,2.5067106918238995,-0.0
63,157.99368,161.4772,150.5196,172.98848,985,913,2.5471415094339624,-0.0
64,158.16425,161.24048,149.30704,171.46431,985,910,2.5875723270440254,3.0
65,159.02043,159.77205,148.51839,171.94086,986,907,2.6280031446540884,3.0
66,159.14474,159.7988,147.087,170.5922,988,904,2.668433962264151,3.0
67,157.52753,158.17767,146.5608,168.18639,989,901,2.708864779874214,3.0
68,153.65073,157.57018,141.8651,165.22101,988,903,2.7492955974842768,-2.0
69,150.56544,155.88036,138.19852,161.9774,989,903,2.7897264150943397,-0.0
70,146.63853,154.31635,127.477974,155.68045,989,903,2.8301572327044027,-0.0
71,145.08658,155.19186,120.627625,131.6903,986,904,2.8705880503144656,-1.0
72,143.74013,153.015,116.712654,114.186615,987,901,2.9110188679245286,3.0
73,143.14124,151.06348,116.172424,100.816925,988,900,2.9514496855345915,1.0
74,141.98499,151.75067,134.00189,118.020065,988,895,2.991880503144654,5.0
75,141.8815,149.78137,114.86331,108.204216,987,897,3.032311320754717,-2.0
76,137.93434,150.65753,96.38449,98.8002,988,898,3.07274213836478,-1.0
77,136.32883,150.48486,75.96944,83.055916,990,897,3.113172955974843,1.0
78,135.8566,149.23093,47.21636,65.322174,989,896,3.153603773584906,1.0
79,133.6819,150.42761,43.805573,54.802116,990,895,3.194034591194969,1.0
80,134.39702,149.0194,43.210697,54.848164,990,896,3.2344654088050317,-1.0
81,135.30806,147.03377,39.31852,60.28285,990,896,3.2748962264150943,-0.0
82,136.45996,146.30167,36.276478,55.437748,990,897,3.315327044025157,-1.0
83,136.48651,147.01329,36.556805,51.049633,991,897,3.35575786163522,-0.0
