frame,left_elbow,right_elbow,left_knee,right_knee
0,40.29,25.39,172.83,173.7
1,39.98,25.23,172.78,173.68
2,39.48,25.03,172.88,173.63
3,39.14,25.48,172.89,173.54
4,39.63,25.58,172.8,173.68
5,39.81,26.1,172.67,173.75
6,39.5,25.94,172.69,173.7
7,39.96,25.54,172.78,173.61
8,38.76,24.94,172.97,173.0
9,37.86,25.88,172.6,173.69
10,39.43,26.47,172.63,173.69
11,38.2,25.37,172.93,173.67
12,39.52,25.44,172.78,173.68
13,39.12,25.38,172.81,173.7
14,40.03,25.91,172.71,173.64
15,39.41,25.36,172.83,173.7
16,39.67,25.24,172.81,173.73
17,39.74,25.36,172.8,173.73
18,40.0,25.9,172.72,173.64
19,39.96,25.77,172.72,173.64
20,40.24,25.65,172.7,173.67
21,40.29,25.77,172.7,173.67
22,40.01,25.9,172.72,173.64
23,40.33,26.01,172.66,173.64
24,41.18,26.08,172.65,173.56
25,41.45,26.08,172.68,173.54
26,41.08,26.34,172.68,173.51
27,41.03,26.19,172.69,173.52
28,41.29,26.06,172.66,173.55
29,41.33,26.19,172.66,173.55
30,41.08,26.33,172.68,173.52
31,41.04,26.2,172.68,173.52
32,41.3,26.06,172.66,173.55
33,41.34,26.19,172.66,173.55
34,41.08,26.33,172.68,173.52
35,41.04,26.2,172.68,173.52
36,41.3,26.06,172.66,173.55
37,41.34,26.19,172.66,173.55
38,41.08,26.33,172.68,173.52
39,41.04,26.2,172.68,173.52
40,41.3,26.06,172.66,173.55
41,41.34,26.19,172.66,173.55
42,41.08,26.33,172.68,173.52
43,41.04,26.2,172.68,173.52
44,41.3,26.06,172.66,173.55
45,41.34,26.19,172.66,173.55
46,41.08,26.33,172.68,173.52
47,41.04,26.2,172.68,173.52
48,41.3,26.06,172.66,173.55
49,41.34,26.19,172.66,173.55
50,41.08,26.33,172.68,173.52
51,41.04,26.2,172.68,173.52
52,41.3,26.06,172.66,173.55
53,41.34,26.19,172.66,173.55
54,41.08,26.33,172.68,173.52
55,41.04,26.2,172.68,173.52
56,41.3,26.06,172.66,173.55
57,41.34,26.19,172.66,173.55
58,41.08,26.33,172.68,173.52
59,41.04,26.2,172.68,173.52
60,41.3,26.06,172.66,173.55
61,41.34,26.19,172.66,173.55
62,41.08,26.33,172.68,173.52
63,41.04,26.2,172.68,173.52
64,41.3,26.06,172.66,173.55
